央视频道,#genre#
爱奇谈高清,http://172.16.0.200:4022/udp/239.93.21.238:8722
爱科幻高清,http://172.16.0.200:4022/udp/239.93.21.226:8568
爱院线高清,http://172.16.0.200:4022/udp/239.93.21.227:8572
幸福剧场,http://172.16.0.200:4022/udp/239.93.21.245:8788
爱谍战高清,http://172.16.0.200:4022/udp/239.93.21.230:8596
爱经典高清,http://172.16.0.200:4022/udp/239.93.21.229:8592
爱悬疑高清,http://172.16.0.200:4022/udp/239.93.21.228:8576
爱青春高清,http://172.16.0.200:4022/udp/239.93.21.232:8678
爱都市高清,http://172.16.0.200:4022/udp/239.93.21.231:8674
爱玩具高清,http://172.16.0.200:4022/udp/239.93.21.234:8686
爱动漫高清,http://172.16.0.200:4022/udp/239.93.21.239:8736
求索频道高清,http://172.16.0.200:4022/udp/239.93.20.240:8740
爱电竞高清,http://172.16.0.200:4022/udp/239.93.21.235:8690
爱赛车高清,http://172.16.0.200:4022/udp/239.93.21.236:8700
爱宠宠物,http://172.16.0.200:4022/udp/239.93.21.247:8796
风尚生活,http://172.16.0.200:4022/udp/239.93.21.244:8784     
幸福娱乐,http://172.16.0.200:4022/udp/239.93.21.246:8792 
来钓鱼吧,http://172.16.0.200:4022/udp/239.93.21.224:8496
绚影4K,http://172.16.0.200:4022/udp/239.93.21.248:8800
乐龄学堂,http://172.16.0.200:4022/udp/239.93.21.216:8868
精彩推荐,http://172.16.0.200:4022/udp/239.93.21.217:8416
嘉佳卡通,http://172.16.0.200:4022/udp/239.93.20.158:9432
收视导视,http://172.16.0.200:4022/udp/239.93.20.122:8732
熊猫爱生活高清,http://172.16.0.200:4022/udp/239.93.20.32:8186
CETV4,http://172.16.0.200:4022/udp/239.93.20.128:7828
经典电影,http://172.16.0.200:4022/udp/239.93.20.163:9444
华语影院,http://172.16.0.200:4022/udp/239.93.20.205:9702
星光院线,http://172.16.0.200:4022/udp/239.93.20.204:9696
全球大片,http://172.16.0.200:4022/udp/239.93.20.169:9486
热播剧场,http://172.16.0.200:4022/udp/239.93.20.244:9936
热门剧场,http://172.16.0.200:4022/udp/239.93.20.203:9690
港剧风云,http://172.16.0.200:4022/udp/239.93.20.200:9672    
卡酷动画,http://172.16.0.200:4022/udp/239.93.20.82:8486
谍战剧场,http://172.16.0.200:4022/udp/239.93.20.166:9468
金鹰卡通,http://172.16.0.200:4022/udp/239.93.20.218:9780
宝宝动画高清,http://172.16.0.200:4022/udp/239.93.20.196:9648
少儿动画高清,http://172.16.0.200:4022/udp/239.93.20.161:9456
青春动漫,http://172.16.0.200:4022/udp/239.93.20.197:9654
热门综艺高清,http://172.16.0.200:4022/udp/239.93.20.192:9624
音乐现场高清,http://172.16.0.200:4022/udp/239.93.20.162:9438
戏曲精选,http://172.16.0.200:4022/udp/239.93.21.80:7304
戏曲,http://172.16.0.200:4022/udp/239.93.20.243:9930
魅力时尚高清,http://172.16.0.200:4022/udp/239.93.20.164:9450
天元围棋,http://172.16.0.200:4022/udp/239.93.20.214:8860
先锋乒羽,http://172.16.0.200:4022/udp/239.93.21.215:8864
生活时尚,http://172.16.0.200:4022/udp/239.93.21.175:7706
爱生活高清,http://172.16.0.200:4022/udp/239.93.20.14:8078
财富天下,http://172.16.0.200:4022/udp/239.93.20.248:9960
股评汇,http://172.16.0.200:4022/udp/239.93.20.202:9684
游戏风云,http://172.16.0.200:4022/udp/239.93.20.207:9714
足球高清,http://172.16.0.200:4022/udp/239.93.20.13:8072
高网高清,http://172.16.0.200:4022/udp/239.93.20.238:9900
台球高清,http://172.16.0.200:4022/udp/239.93.20.237:9894
军事高清,http://172.16.0.200:4022/udp/239.93.20.250:9972
解密高清,http://172.16.0.200:4022/udp/239.93.20.219:9786
地理高清,http://172.16.0.200:4022/udp/239.93.20.81:8480
传奇,http://172.16.0.200:4022/udp/239.93.20.249:9966
导视,http://172.16.0.200:4022/udp/239.93.20.217:9774
收视指南,http://172.16.0.200:4022/udp/239.93.20.62:8366
高清直播室1,http://172.16.0.200:4022/udp/239.93.20.28:8162
高清直播室2,http://172.16.0.200:4022/udp/239.93.20.23:8132
高清直播室3,http://172.16.0.200:4022/udp/239.93.20.167:9474
高清直播室4,http://172.16.0.200:4022/udp/239.93.20.138:9302
高清直播室5,http://172.16.0.200:4022/udp/239.93.20.142:9326
高清直播室6,http://172.16.0.200:4022/udp/239.93.20.2:8042
红原日干乔,http://172.16.0.200:4022/udp/239.93.21.213:8428
红原月亮湾,http://172.16.0.200:4022/udp/239.93.20.213:8424

